2021-08-29 23:57:18.150 +06:00 [INF] Application Starting up
2021-08-29 23:57:19.611 +06:00 [INF] Worker running at: "2021-08-29T23:57:19.6019654+06:00"
2021-08-29 23:57:20.642 +06:00 [INF] Worker running at: "2021-08-29T23:57:20.6427195+06:00"
2021-08-29 23:57:21.664 +06:00 [INF] Worker running at: "2021-08-29T23:57:21.6640816+06:00"
2021-08-29 23:57:22.682 +06:00 [INF] Worker running at: "2021-08-29T23:57:22.6828386+06:00"
2021-08-29 23:57:23.688 +06:00 [INF] Worker running at: "2021-08-29T23:57:23.6881750+06:00"
2021-08-29 23:57:24.691 +06:00 [INF] Worker running at: "2021-08-29T23:57:24.6910062+06:00"
2021-08-29 23:57:25.692 +06:00 [INF] Worker running at: "2021-08-29T23:57:25.6926044+06:00"
2021-08-29 23:57:26.697 +06:00 [INF] Worker running at: "2021-08-29T23:57:26.6970159+06:00"
2021-08-29 23:57:27.701 +06:00 [INF] Worker running at: "2021-08-29T23:57:27.7013661+06:00"
